date,shop,sku,orders,units,revenue,ad_spend,stock,safe_stock,reviews,bad_reviews
2026-08-27,Amazon US,B0DEMO0001,38,52,2340.50,410.00,320,150,12,1
2026-08-27,Amazon US,B0DEMO0002,21,21,1575.00,260.00,85,100,8,1
2026-08-27,Shopify,B0DEMO0001,15,19,1120.00,120.00,410,200,5,0
2026-08-28,Amazon US,B0DEMO0001,41,55,2530.00,420.00,310,150,13,1
2026-08-28,Amazon US,B0DEMO0002,19,19,1425.00,265.00,80,100,9,2
2026-08-28,Shopify,B0DEMO0001,17,22,1280.00,125.00,400,200,6,0
2026-08-29,Amazon US,B0DEMO0001,45,61,2790.00,430.00,300,150,15,1
2026-08-29,Amazon US,B0DEMO0002,22,22,1650.00,270.00,76,100,10,2
2026-08-29,Shopify,B0DEMO0001,16,20,1180.00,122.00,395,200,6,1
2026-08-30,Amazon US,B0DEMO0001,40,54,2480.00,425.00,290,150,16,2
2026-08-30,Amazon US,B0DEMO0002,20,20,1500.00,268.00,72,100,11,2
2026-08-30,Shopify,B0DEMO0001,18,23,1340.00,128.00,390,200,7,1
2026-08-31,Amazon US,B0DEMO0001,47,64,2920.00,440.00,280,150,17,2
2026-08-31,Amazon US,B0DEMO0002,24,24,1800.00,275.00,68,100,12,3
2026-08-31,Shopify,B0DEMO0001,20,26,1500.00,130.00,385,200,7,1
2026-09-01,Amazon US,B0DEMO0001,52,71,3230.00,455.00,270,150,18,2
2026-09-01,Amazon US,B0DEMO0002,26,26,1950.00,280.00,64,100,12,3
2026-09-01,Shopify,B0DEMO0001,22,29,1660.00,135.00,380,200,8,1
2026-09-02,Amazon US,B0DEMO0001,49,67,3050.00,450.00,260,150,19,2
2026-09-02,Amazon US,B0DEMO0002,25,25,1875.00,278.00,60,100,13,3
2026-09-02,Shopify,B0DEMO0001,21,27,1580.00,132.00,375,200,8,1
2026-09-03,Amazon US,B0DEMO0001,55,75,3420.00,465.00,250,150,20,2
2026-09-03,Amazon US,B0DEMO0002,28,28,2100.00,285.00,56,100,14,3
2026-09-03,Shopify,B0DEMO0001,24,31,1810.00,138.00,370,200,9,1
2026-09-04,Amazon US,B0DEMO0001,58,79,3610.00,470.00,240,150,21,2
2026-09-04,Amazon US,B0DEMO0002,30,30,2250.00,290.00,52,100,14,4
2026-09-04,Shopify,B0DEMO0001,26,34,1960.00,142.00,365,200,9,1
2026-09-05,Amazon US,B0DEMO0001,60,82,3740.00,475.00,230,150,22,3
2026-09-05,Amazon US,B0DEMO0002,32,32,2400.00,295.00,48,100,15,4
2026-09-05,Shopify,B0DEMO0001,28,37,2110.00,148.00,360,200,10,1
2026-09-06,Amazon US,B0DEMO0001,64,88,3990.00,490.00,220,150,23,3
2026-09-06,Amazon US,B0DEMO0002,34,34,2550.00,300.00,44,100,16,4
2026-09-06,Shopify,B0DEMO0001,30,40,2260.00,152.00,355,200,10,2
2026-09-07,Amazon US,B0DEMO0001,70,96,4370.00,510.00,210,150,24,3
2026-09-07,Amazon US,B0DEMO0002,36,36,2700.00,308.00,40,100,17,5
2026-09-07,Shopify,B0DEMO0001,33,44,2490.00,158.00,350,200,11,2
2026-09-08,Amazon US,B0DEMO0001,74,101,4620.00,520.00,200,150,25,3
2026-09-08,Amazon US,B0DEMO0002,38,38,2850.00,315.00,36,100,18,6
2026-09-08,Shopify,B0DEMO0001,36,48,2720.00,165.00,345,200,12,2
2026-09-09,Amazon US,B0DEMO0001,80,109,5000.00,540.00,190,150,26,3
2026-09-09,Amazon US,B0DEMO0002,41,41,3075.00,322.00,30,100,19,6
2026-09-09,Shopify,B0DEMO0001,39,52,2950.00,172.00,340,200,13,2
